,CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,AgeRange
0,8,2,Before coding,Yes,Caffè latte,Sometimes,Female,18 to 29
1,3,2,Before coding,Yes,Americano,Yes,Female,30 to 39
2,5,3,While coding,No,Nescafe,Yes,Female,18 to 29
4,10,3,While coding,Sometimes,Turkish,No,Male,18 to 29
5,8,2,While coding,Sometimes,Nescafe,Yes,Male,30 to 39
7,10,4,Before coding,Sometimes,Turkish,Sometimes,Male,18 to 29
8,10,2,While coding,Yes,American Coffee,Sometimes,Male,30 to 39
9,10,2,While coding,Yes,Nescafe,No,Male,30 to 39
10,10,3,While coding,Sometimes,American Coffee,Sometimes,Male,30 to 39
11,2,3,Before coding,Sometimes,Turkish,Yes,Male,30 to 39
12,8,2,Before and while coding,No,Nescafe,Yes,Male,30 to 39
13,9,3,While coding,Sometimes,Nescafe,Yes,Male,30 to 39
14,6,1,Before coding,Yes,Nescafe,Sometimes,Male,18 to 29
15,6,3,While coding,No,Americano,Yes,Female,30 to 39
16,10,3,While coding,Sometimes,American Coffee,Sometimes,Male,30 to 39
17,6,4,While coding,Yes,Turkish,Sometimes,Male,30 to 39
18,8,3,While coding,No,Nescafe,No,Male,18 to 29
19,3,1,In the morning,Yes,Nescafe,Sometimes,Female,30 to 39
20,3,3,While coding,Yes,Espresso (Short Black),Sometimes,Male,18 to 29
21,9,5,While coding,Sometimes,Nescafe,Yes,Male,18 to 29
22,4,2,While coding,Sometimes,American Coffee,Sometimes,Male,18 to 29
23,8,3,While coding,No,Turkish,No,Male,40 to 49
24,5,3,While coding,Sometimes,Cappuccino,Sometimes,Male,Under 18
25,6,3,While coding,Yes,Nescafe,No,Female,30 to 39
26,7,4,Before coding,Sometimes,Espresso (Short Black),No,Male,30 to 39
27,8,4,While coding,Sometimes,Turkish,Yes,Male,30 to 39
28,7,1,Before coding,Yes,Nescafe,Yes,Male,30 to 39
29,2,2,While coding,Sometimes,American Coffee,Sometimes,Male,40 to 49
30,10,6,All the time,No,American Coffee,Yes,Male,30 to 39
31,2,2,While coding,No,Nescafe,Sometimes,Female,18 to 29
32,9,2,Before coding,Sometimes,Nescafe,Sometimes,Female,18 to 29
33,4,1,Before coding,Yes,Nescafe,No,Male,30 to 39
34,6,2,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,18 to 29
35,2,2,While coding,Yes,American Coffee,No,Male,30 to 39
36,2,3,All the time,Sometimes,Turkish,Sometimes,Male,30 to 39
37,7,7,After coding,Yes,Turkish,Yes,Female,40 to 49
38,1,1,While coding,Yes,Cappuccino,Yes,Male,40 to 49
